Ref,Val,PosX,PosY,Rotation,Side
J1,USB-C CHARGE,12.000,4.000,0,Top
F1,500mA Fuse,17.000,4.000,0,Top
Q1,Ideal Diode,24.000,4.000,0,Top
U2,LiPo Charger,30.000,4.000,0,Top
BT1,LiPo 400mAh,43.000,4.000,0,Top
U3,Fuel Gauge,40.000,6.000,0,Top
LD1,3V3 LDO,32.000,11.000,0,Top
U1,nRF52840,25.000,28.000,0,Top
U5,Temp/Humidity,10.000,24.000,0,Top
J2,SWD DEBUG,6.000,28.000,0,Top
R1,4K7,10.000,13.000,0,Top
R2,4K7,15.000,13.000,0,Top
R3,1K,38.000,25.000,0,Top
R4,10K,37.000,4.000,0,Top
C1,100nF,25.000,12.000,0,Top
C2,100nF,27.000,19.000,0,Top
C3,10uF,44.000,10.000,0,Top
C4,10uF,19.000,19.000,0,Top
D1,USB ESD,12.000,10.000,0,Top
