Ref,Val,PosX,PosY,Rotation,Side
J1,24V INPUT,20.000,5.000,0,Top
F1,80A SERVICE FUSE,38.000,5.000,0,Top
Q1,IDEAL DIODE,56.000,5.000,0,Top
D1,33V TVS,74.000,5.000,0,Top
U3,eFuse,92.000,5.000,0,Top
U4,5V Buck,112.000,18.000,0,Top
U5,3V3 Buck,132.000,18.000,0,Top
U1,STM32H743,70.000,37.000,0,Top
U2,ICM-42688-P,22.000,48.000,0,Top
U6,CAN PHY,90.000,27.000,0,Top
J2,E-STOP,140.000,95.000,0,Top
Q2,E-STOP GATE,124.000,48.000,0,Top
J3,CAN,80.000,5.000,0,Top
R1,120R,104.000,20.000,0,Top
J4,SWD,104.000,69.000,0,Top
J5,USB-C,120.000,95.000,0,Top
D2,USB ESD,120.000,86.000,0,Top
R4,100K,60.000,27.000,0,Top
R2,4K7,42.000,48.000,0,Top
R3,4K7,58.000,48.000,0,Top
J11,MOTOR_IO_1,9.000,7.000,0,Top
J12,MOTOR_IO_2,9.000,22.000,0,Top
J13,MOTOR_IO_3,9.000,37.000,0,Top
J14,MOTOR_IO_4,9.000,52.000,0,Top
J15,MOTOR_IO_5,9.000,67.000,0,Top
J16,MOTOR_IO_6,9.000,82.000,0,Top
J17,MOTOR_IO_7,151.000,7.000,0,Top
J18,MOTOR_IO_8,151.000,22.000,0,Top
J19,MOTOR_IO_9,151.000,37.000,0,Top
J20,MOTOR_IO_10,151.000,52.000,0,Top
J21,MOTOR_IO_11,151.000,67.000,0,Top
J22,MOTOR_IO_12,151.000,82.000,0,Top
C1,100nF,24.000,76.000,0,Top
C2,100nF,46.000,76.000,0,Top
C3,100nF,68.000,76.000,0,Top
C4,100nF,90.000,76.000,0,Top
C5,100nF,112.000,76.000,0,Top
C6,100nF,24.000,89.000,0,Top
C7,100nF,46.000,89.000,0,Top
C8,100nF,68.000,89.000,0,Top
C9,22uF,90.000,89.000,0,Top
C10,10uF 50V,112.000,89.000,0,Top
