reference,category,mpn,quantity,risk
J1,power_input,USB4105-GF-A,1,normal
D1,tvs,USBLC6-2SC6,1,normal
R1,usb_series_resistor,RC0603FR-0727RL,1,normal
R2,usb_series_resistor,RC0603FR-0727RL,1,normal
U1,regulator_3v3,AP2112K-3.3TRG1,1,normal
U2,mcu,RP2040,1,normal
U3,flash,W25Q16JVSSIQ,1,normal
X1,crystal_12m,ABM8-272-T3,1,normal
R3,xtal_series_resistor,RC0603FR-071KL,1,normal
R4,flash_cs_pullup,RC0603FR-0710KL,1,normal
R5,usb_cc_pulldown,RC0603FR-075K1L,1,normal
R6,usb_cc_pulldown,RC0603FR-075K1L,1,normal
J2,debug_header,61201021621,1,normal
C1,decoupling,GRM155R71C104KA88D,1,normal
C2,decoupling,GRM155R71C104KA88D,1,normal
C3,decoupling,GRM155R71C104KA88D,1,normal
C4,decoupling,GRM155R71C104KA88D,1,normal
C5,decoupling,GRM155R71C104KA88D,1,normal
C6,decoupling,GRM155R71C104KA88D,1,normal
C7,decoupling,GRM155R71C104KA88D,1,normal
C8,decoupling,GRM155R71C104KA88D,1,normal
C9,decoupling,GRM155R71C104KA88D,1,normal
C10,decoupling,GRM155R71C104KA88D,1,normal
C11,decoupling,GRM188R61C105KA93D,1,normal
C12,decoupling,GRM188R61C105KA93D,1,normal
C13,decoupling,GRM155R71C104KA88D,1,normal
C14,decoupling,GRM155R71C104KA88D,1,normal
C15,decoupling,GRM188R61C105KA93D,1,normal
C16,decoupling,GRM188R61C105KA93D,1,normal
C17,xtal_cap,GRM1555C1H150JA01D,1,normal
C18,xtal_cap,GRM1555C1H150JA01D,1,normal
