reference,category,mpn,quantity,risk
J1,power_input,USB4105-GF-A,1,normal
R3,usb_cc_pulldown,RC0603FR-075K1L,1,normal
R4,usb_cc_pulldown,RC0603FR-075K1L,1,normal
D1,tvs,USBLC6-2SC6,1,normal
U1,regulator_3v3,AP2112K-3.3TRG1,1,normal
U2,mcu,ATSAMD21G18A-AU,1,normal
U3,imu,LSM6DSOXTR,1,normal
U4,env_sensor,BME280,1,normal
X1,rtc_crystal,MC-306 32.768KHZ,1,normal
C4,xtal_cap,GRM2165C1H120JA01D,1,normal
C5,xtal_cap,GRM2165C1H120JA01D,1,normal
J2,debug_header,61201021621,1,normal
R1,resistor_4k7,RC0603FR-074K7L,1,normal
R2,resistor_4k7,RC0603FR-074K7L,1,normal
C1,decoupling,GRM155R71C104KA88D,1,normal
C2,decoupling,GRM155R71C104KA88D,1,normal
C3,bulk_cap,GRM188R60J106ME47D,1,normal
C6,capacitor_1uf,GRM188R61C105KA93D,1,normal
J20,battery_input,XT30PW-M,1,normal
F20,fuse,0451010.MRL,1,normal
U20,external_buck_module,D24V90F5,1,normal
C20,bulk_cap,GRM188R60J106ME47D,1,normal
U21,pwm_driver,PCA9685PW,1,normal
U22,safety_gate,SN74LVC1G04DBVR,1,normal
R20,pulldown,RC0603FR-0710KL,1,normal
J27,estop,1935161,1,normal
J21,servo_output,M20-9990345,1,normal
J22,servo_output,M20-9990345,1,normal
J23,servo_output,M20-9990345,1,normal
J24,servo_output,M20-9990345,1,normal
J25,servo_output,M20-9990345,1,normal
J26,servo_output,M20-9990345,1,normal
