Reference,Value,MPN,Footprint,Quantity
J1,24V INPUT,Molex-42820-2212,MicroFit_2Pin,1
F1,80A SERVICE FUSE,Littelfuse-0498080.M,MIDI_Fuse,1
Q1,IDEAL DIODE,LM74700QDBVRQ1,SOT23-6,1
D1,33V TVS,SMCJ33A,SMCJ,1
U3,eFuse,TPS26630RGET,VQFN24,1
U4,5V Buck,LM76005RNPR,WQFN30,1
U5,3V3 Buck,TPS62133RGTR,VQFN16,1
U1,STM32H743,STM32H743VIT6,LQFP100,1
U2,ICM-42688-P,ICM-42688-P,LGA14,1
U6,CAN PHY,TCAN1042HGVDRQ1,SOIC8,1
J2,E-STOP,Phoenix-1935161,Terminal_3Pin,1
Q2,E-STOP GATE,SN74LVC1G97DBVR,SOT23-6,1
J3,CAN,Molex-43650-0300,MicroFit_3Pin,1
R1,120R,RC0603FR-07120RL,R0603,1
J4,SWD,Samtec-FTSH-105-01-L-DV-K,Cortex_Debug_10Pin,1
J5,USB-C,USB4105-GF-A,USB_C_16Pin,1
D2,USB ESD,USBLC6-2SC6,SOT23-6,1
R4,100K,RC0603FR-07100KL,R0603,1
R2,4K7,RC0603FR-074K7L,R0603,1
R3,4K7,RC0603FR-074K7L,R0603,1
J11,MOTOR_IO_1,Molex-43045-0800,MicroFit_8Pin,1
J12,MOTOR_IO_2,Molex-43045-0800,MicroFit_8Pin,1
J13,MOTOR_IO_3,Molex-43045-0800,MicroFit_8Pin,1
J14,MOTOR_IO_4,Molex-43045-0800,MicroFit_8Pin,1
J15,MOTOR_IO_5,Molex-43045-0800,MicroFit_8Pin,1
J16,MOTOR_IO_6,Molex-43045-0800,MicroFit_8Pin,1
J17,MOTOR_IO_7,Molex-43045-0800,MicroFit_8Pin,1
J18,MOTOR_IO_8,Molex-43045-0800,MicroFit_8Pin,1
J19,MOTOR_IO_9,Molex-43045-0800,MicroFit_8Pin,1
J20,MOTOR_IO_10,Molex-43045-0800,MicroFit_8Pin,1
J21,MOTOR_IO_11,Molex-43045-0800,MicroFit_8Pin,1
J22,MOTOR_IO_12,Molex-43045-0800,MicroFit_8Pin,1
C1,100nF,GRM188R71C104KA01D,C0603,1
C2,100nF,GRM188R71C104KA01D,C0603,1
C3,100nF,GRM188R71C104KA01D,C0603,1
C4,100nF,GRM188R71C104KA01D,C0603,1
C5,100nF,GRM188R71C104KA01D,C0603,1
C6,100nF,GRM188R71C104KA01D,C0603,1
C7,100nF,GRM188R71C104KA01D,C0603,1
C8,100nF,GRM188R71C104KA01D,C0603,1
C9,22uF,GRM31CR61E226ME15L,C1206,1
C10,10uF 50V,GRM32ER71H106KA12L,C1210,1
