Ref,PosX,PosY,Rotation,Side
J1,12,12,0,Top
F1,36,12,0,Top
Q1,60,12,0,Top
D1,84,12,0,Top
U3,108,12,0,Top
U4,132,12,0,Top
U5,12,30,0,Top
U1,36,30,0,Top
U2,60,30,0,Top
U6,84,30,0,Top
J2,108,30,0,Top
Q2,132,30,0,Top
J3,12,48,0,Top
R1,36,48,0,Top
J4,60,48,0,Top
J5,84,48,0,Top
D2,108,48,0,Top
R4,132,48,0,Top
R2,12,66,0,Top
R3,36,66,0,Top
J11,60,66,0,Top
J12,84,66,0,Top
J13,108,66,0,Top
J14,132,66,0,Top
J15,12,84,0,Top
J16,36,84,0,Top
J17,60,84,0,Top
J18,84,84,0,Top
J19,108,84,0,Top
J20,132,84,0,Top
J21,12,102,0,Top
J22,36,102,0,Top
C1,60,102,0,Top
C2,84,102,0,Top
C3,108,102,0,Top
C4,132,102,0,Top
C5,12,120,0,Top
C6,36,120,0,Top
C7,60,120,0,Top
C8,84,120,0,Top
C9,108,120,0,Top
C10,132,120,0,Top
